Category,Value,Order,Question,Answer
SEAN SONG,$600,8,"He won an Oscar for ""The Untouchables""",Sean Connery
SEAN SONG,$800,9,Yoko's boy,Sean Lennon
SEAN SONG,$1000,10,"Android hottie in ""Blade Runner""",Sean Young
SLOGANEERING,$200,11,"""Ask any mermaid you happen to see, 'What's the best tuna?'"", this brand",Chicken of the Sea
SLOGANEERING,$400,12,"A fast food chain: ""If it doesn't get all over the place, it doesn't belong in your face""",Carl\'s Jr.
SLOGANEERING,$600,13,"""Pardon me, but do you have any"" of this fancy mustard?",Grey Poupon
SLOGANEERING,$800,14,"""Kiss a little longer"" with this gum",Big Red
SLOGANEERING,$1000,15,"The slogan of this Johnson & Johnson product was ""Have you had your sprinkle today?""",Shower to Shower
SPIRITED CINEMA,$400,1,Nicole Kidman finds a photo book containing a postmortem image of her current housekeeper in this chiller,The Others
SPIRITED CINEMA,$800,2,"This actor played a medium hired to investigate the Everest of Haunted Houses in ""Legend of Hell House""",Roddy McDowall
SPIRITED CINEMA,"DD: $5,000",3,David's haunted by the decomposing corpse of his friend Jack after being attacked on the British moors in this 1981 film,An American Werewolf in London
SPIRITED CINEMA,$1600,4,"In ""The Gift"" this Aussie actress plays a psychic who gets some much needed help from her former client",Cate Blanchett
SPIRITED CINEMA,$2000,5,Rex Harrison is a curmudgeonly sea captain's ghost haunting Gene Tierney's cottage in this 1947 classic,The Ghost and Mrs. Muir
THE OLD TESTAMENT,$200,1,"Let's all flock to read Psalm 95, in which humans are compared to these animals",sheep
THE OLD TESTAMENT,$400,2,"Some say the screech owl in the King James Bible is Lilith, the name given his legendary first wife",Adam
THE OLD TESTAMENT,$600,3,"Hagar, carrying this man's baby, fled into the desert after harsh treatment from his wife",Abraham
THE OLD TESTAMENT,$800,6,"According to this Old Testament book, this ""swords into plowshares"" prophet walked naked for 3 years",Isaiah
THE OLD TESTAMENT,$1000,7,"In Genesis, Joseph is imprisoned after accusations by the wife of this Egyptian",Potiphar
TRANSPORTATION,$400,21,"After turning the key, it's the final action with which you start a Yamaha YZ426F 4-stroke motorcycle",kick
TRANSPORTATION,$800,23,"The Champlain & St. Lawrence Railroad opened in 1836 powered by this, but soon became Canada's first powered by steam",horses
TRANSPORTATION,$1200,24,"The vessel seen here, the type of missile it carries or a much more low-tech weapon",Trident
TRANSPORTATION,$1600,25,The U.S. company Trek makes Lance Armstrong's bikes from a composite of this often-compounded element,carbon
TRANSPORTATION,$2000,26,In 1980 you could haul brie in the Renault sold in the U.S. under this half-French name,Le Car
WORLD HISTORY,$400,22,Toledo military academy class of 1910 grad who went on to become a dictator,Francisco Franco
WORLD HISTORY,$800,27,"Mindon, as emperor of this country, set up a new capital in 1857 at Mandalay",Burma
WORLD HISTORY,"DD: $4,800",28,His 5 classics were canonized during the Han Dynasty,Confucius
WORLD HISTORY,$1600,29,"Edmund ""Crouchback"" founded this branch of the Plantagenets that didn't get on well with the Yorks",the Lancasters
WORLD HISTORY,$2000,30,"In 1825, the Decembrists attempted a coup in this country--didn't work",Russia
"YOU GET AN ""A""",$400,11,"This U.S. state's name comes from an Aleut word meaning ""Great Land""",Alaska
"YOU GET AN ""A""",$800,12,"(Jeff Probst, host of Survivor, reads the clue.)  This river got its name after a Spanish explorer reported that he had been attacked by female warriors there",Amazon
"YOU GET AN ""A""",$1200,13,This basic unit of measure of electric current is named for a French physicist who studied voltage,the ampere
"YOU GET AN ""A""",$1600,14,"To increase a jet plane's thrust, turn on these that feed fuel into the hot exhaust gases",the afterburners
"YOU GET AN ""A""",$2000,15,There's a cathedral of Notre Dame in this large Belgian port city that's also known for its diamonds,Antwerp
"""I"" CATCHING",$400,16,"The Fianna Fail political party's name means ""Warriors of"" this country",Ireland
"""I"" CATCHING",$800,17,"From the Latin for ""inactivity"" it's the tendency of a body to resist change in its motion",inertia
"""I"" CATCHING",$1200,18,"Astrud Gilberto had a monster hit song about ""The Girl From"" this place",Ipanema
"""I"" CATCHING",$1600,19,"Cambodia, Laos & Vietnam are part of this peninsula",Indochina
"""I"" CATCHING",$2000,20,"This innovative Russian designed the Soviet Union's IL-2, a famous dive-bombing fighter plane of WWII",Sergei Ilyushin
BASEBALL: THE 1930s,$400,9,"On May 25, 1935 he slugged the last 3 home runs of his career--numbers 712, 713 & 714",Babe Ruth
BASEBALL: THE 1930s,$800,10,"On July 6, 1933 this city's Comiskey Park hosted the first All-Star Game; the American League won, 4-2",Chicago
BASEBALL: THE 1930s,$1200,11,In 1939 Red Sox rookie batted .327; 2 years later his batting average increased 79 points,Ted Williams
BASEBALL: THE 1930s,$1600,13,In 1934 this eccentric St. Louis Cardinals pitcher who won 30 games was named the NL's most valuable player,Dizzy Dean
BASEBALL: THE 1930s,$2000,14,In June 1938 this Cincinnati Reds pitcher became the only man to pitch a no-hitter in 2 consecutive games,Johnny Van Der Meer
DOC TALK,$400,21,Myopia is the medical term for this,nearsightedness
DOC TALK,$800,22,"This is the common name for a lumbar puncture, used to test for meningitis",a spinal tap
DOC TALK,"DD: $3,800",23,"Properly called the optic disk, it's the region of the retina that has no rods or cones",the blind spot
DOC TALK,$1600,24,An LFT tests the function of this organ,the liver
DOC TALK,$2000,25,Minor ailments can be treated by NPs (Nurse-practitioners) & PAs (these),physician assistants
FEATHERS,$200,26,"Depending on the source, he ""stuck a feather in his cap"" or ""in his hat and called it macaroni""",Yankee Doodle
FEATHERS,$400,28,"According to the proverb, ""Birds of a feather"" do this",flock together
FEATHERS,$600,27,"For a Plains Indian's war bonnet, the best feathers were from this bird",an eagle
FEATHERS,$800,29,"A female swan, or what a quill can be used as",a pen
FEATHERS,"DD: $3,000",30,It's what Daedalus used to hold the feathers together in the wings he made for himself & his son,wax
GROCERY SHOPPING,$200,21,"If in a hurry, grab a prewashed salad mix, perhaps with the red leaf & green leaf types of this",lettuce
GROCERY SHOPPING,$400,22,"If you're buying a whole fish, these (on the fish) should be clear & not sunken",eyes
GROCERY SHOPPING,$600,23,"Mom, not shredded wheat!  Please can we get Tony's Cinnamon Krunchers from this company, can we please?",Kellogg\'s
GROCERY SHOPPING,$800,24,You'll get fresher milk from the bottom of your market's display case for this reason,because it\'s colder at the bottom
GROCERY SHOPPING,$1000,25,Choose one of these with evenly distributed netting,cantaloupe
HODGEPODGE,$400,26,"This adjective can be applied to writers like Shelley & Hugo as well as to a ""getaway"" for 2",Romantic
HODGEPODGE,$800,27,The logo of the National Beagle Club doesn't show a beagle but this scared animal that beagles hunt,a rabbit
HODGEPODGE,$1200,28,"Big Sandy isn't a feared bouncer, but a river that divides Kentucky from this ""Mountain State""",West Virginia
HODGEPODGE,$1600,29,Official job title of the person who directs the largest library in the world,the Librarian of Congress
HODGEPODGE,$2000,30,"Born in 1714, this 3-initialed son of J.S. Bach became his father's student & successor",Carl Philipp Emanuel Bach
THE EXPERIENCE MUSIC PROJECT,$200,1,"(Sofia of the Clue Crew holds a feathered headdress at Experience Music Project in Seattle, WA.)  Felipe Rose, who wore this costume as part of this '70s group, has since founded Tomahawk Records",The Village People
THE EXPERIENCE MUSIC PROJECT,$400,2,"In 2004, for the 40th anniversary of the Fab 4 in the U.S., EMP presents an exhibit titled this, like a 1977 Broadway show",Beatlemania
THE EXPERIENCE MUSIC PROJECT,$600,3,"(Sofia of the Clue Crew holds a giant black boot at Experience Music Project in Seattle, WA.)  The dragon boots were part of the finery of this hard rock band",Kiss
THE EXPERIENCE MUSIC PROJECT,$800,9,"In the area called DJ Hallway, learn scratching & the other aspects of this -ism",turntablism
THE EXPERIENCE MUSIC PROJECT,$1000,10,"(Sofia of the Clue Crew holds a red hat at the Experience Music Project in Seattle, WA.)  Experience Music Project has a hat from the collection of this man from Romeo, Michigan",Kid Rock
THE LARGEST IN AREA,$200,16,"Maine,Maryland,Montana",Montana
THE LARGEST IN AREA,$400,17,"Wisconsin,Wyoming,Washington",Wyoming
THE LARGEST IN AREA,$600,18,"Ohio,Oklahoma,Oregon",Oregon
THE LARGEST IN AREA,$800,19,"Nebraska,Nevada,North Carolina",Nevada
THE LARGEST IN AREA,$1000,20,"American Samoa,Bermuda,Puerto Rico",Puerto Rico
THE QUEEN'S ENGLISH,$200,11,"If you take a nappy in London, it's one of these to put on a baby",a diaper
THE QUEEN'S ENGLISH,$400,12,"The type of car the Brits call an estate car, we Americans call one of these wagons",a station wagon
THE QUEEN'S ENGLISH,$600,13,"If you're challenged to a game of draughts in a Birmingham pub, be prepared to contest this board game",checkers
THE QUEEN'S ENGLISH,$800,14,"If your mechanic in Manchester needs a spanner to fix your car, he's asking for one of these",a wrench
THE QUEEN'S ENGLISH,$1000,15,"If the Westminster Bobby pulls out his truncheon, be worried because it's one of these",a club (or a nightstick)
THE WAR OF 1812,$400,1,"About 2,000 British soldiers were killed or wounded by Jackson's troops in this last engagement of the war",Battle of New Orleans
THE WAR OF 1812,$800,2,"In April 1813, the U.S. captured Toronto, but this general after whom a Colorado mountain is named died in the battle",Zebulon Pike
THE WAR OF 1812,$1200,3,"On December 29, 1812 this famous U.S. frigate defeated the British frigate Java off the coast of Brazil",the Constitution
THE WAR OF 1812,$1600,4,In 1813 this naval officer supervised the building of American ships to strengthen the Navy's fleet on Lake Erie,Oliver Hazard Perry
THE WAR OF 1812,$2000,5,A provision of this treaty ending the war set up a commission to settle the boundary between the U.S. & Canada,the Treaty of Ghent
WHO'S THE SUBJECT?,$400,6,"""A Private Disgrace"" & ""Forty Whacks""",Lizzie Borden
WHO'S THE SUBJECT?,$800,7,"""Against the Current"" & ""Far Side of Paradise""",F. Scott Fitzgerald
WHO'S THE SUBJECT?,$1200,8,"""American Caesar"" & ""Old Soldiers Never Die""",Douglas MacArthur
WHO'S THE SUBJECT?,$1600,12,"""Prince of Humbugs"" & ""The Fabulous Showman""",P.T. Barnum
WHO'S THE SUBJECT?,"DD: $4,200",15,"""The Last Lion"" & ""Lion of Britain""",Winston Churchill
WORLD RELIGION,$200,4,"As the Mayan god of merchants, Ek Chuah was responsible for this yummy bean, once the standard Mayan currency",Cacao bean
WORLD RELIGION,$400,5,The Voodoo of New Orleans owes a debt to this Caribbean nation once known as St. Domingue,Haiti
WORLD RELIGION,$600,6,"By definition, the Hashemites are either direct or collateral descendants of this prophet",Muhammad
WORLD RELIGION,$800,7,"Parasurama is the... let me see, fourth, fifth... no, sixth avatar of this Hindu god",Vishnu
WORLD RELIGION,$1000,8,"From the Latin for a room that can be locked, it's a meeting assembled to choose a pope",a conclave
"A ""TINY"" CATEGORY",$200,2,"Probably the most famous ukulele player to have a top 40 hit, his name came from a Charles Dickens character",Tiny Tim
"A ""TINY"" CATEGORY",$400,7,Leon Prober composed this Don Ho standard,"""Tiny Bubbles"""
"A ""TINY"" CATEGORY",$600,8,1980s Boston Celtics standout Nate,"""Tiny"" Archibald"
"A ""TINY"" CATEGORY",$800,9,This TV show featured younger versions of classic Warner Bros. animated characters,Tiny Toon Adventures (Tiny Toons accepted)
"A ""TINY"" CATEGORY",$1000,10,"In the Oscar-nominated song, the 3 words that follow ""Thumbelina, Thumbelina...""","""Tiny Little Thing"""
BIG WORDS,$400,16,"A person who fought against slavery, like John Brown, was termed this 12-letter word",abolitionist
BIG WORDS,$800,17,"This instrument, often attached to an inflatable cuff, is used to measure blood pressure",a sphygmomanometer
BIG WORDS,$1200,18,"This 11-letter word for ""sleight of hand"" is from the French for ""light of hand""",legerdemain
BIG WORDS,$1600,19,This adjective refers to a 150th anniversary,sesquicentennial
BIG WORDS,"DD: $5,600",20,"28-letter term for opposition to the withdrawal of state support, as for the Anglican church",antidisestablishmentarianism
HEAPING PORTIONS,$400,1,"This ""male"" brand of frozen dinners contains more than 1 pound of food; the XXL line has 1 1/2 pounds",Hungry-Man
HEAPING PORTIONS,$800,2,The Overtons named this restaurant for a certain dessert; it's known for its large menu & giant portions,Cheesecake Factory
HEAPING PORTIONS,$1200,4,A 32-ounce soft drink at 7-Eleven has this trademarked name,Big Gulp
HEAPING PORTIONS,$1600,5,"(Jimmy of the Clue Crew points to three stacks of different-sized paper cups in a Starbucks in Seattle, Washington.)  At Starbucks, tall is only 12 ounces, grande is 16 ounces & this, Italian for 20, is 20 ounces",venti
HEAPING PORTIONS,"DD: $1,000",6,This bottle size named for one of the Magi is the equivalent of 16 standard bottles of wine,
LITTLE RED RIDING HOOD,$200,16,"It was the wolf's reply to Red's comment, ""Grandmother, what large eyes you have""",the better to see you with
LITTLE RED RIDING HOOD,$400,17,"In the 1934 Disney cartoon ""The Big Bad Wolf"", this trio warns Red about the wolf waiting at Grandma's house",the Three Little Pigs
LITTLE RED RIDING HOOD,$600,18,"In the Grimms' version, this character was added to save Red's life after the wolf had devoured her",the woodsman
LITTLE RED RIDING HOOD,$800,19,"""Lil' Red Riding Hood"" was a No. 2 hit in 1966 for Sam the Sham & this group",The Pharaohs
LITTLE RED RIDING HOOD,$1000,20,"""Little Red Riding Hood"" was first written as ""Le Petit Chaperon Rouge"" in 1697 by this French fairy tale compiler",Charles Perrault
LOTS OF SPACE,$400,7,NASA has 134 of these & has no current plan to hire more,astronauts
LOTS OF SPACE,$800,8,"On August 27, 2003 this planet reached its closest point to Earth in nearly 60,000 years",Mars
LOTS OF SPACE,$1200,9,"In 1965, Belyayev just had to sit there while his partner Leonov became the first to do this",walk in space
LOTS OF SPACE,$1600,10,"In 1945 this ""Space Odyssey"" author suggested a space-based telecommunication system",Arthur Clarke
LOTS OF SPACE,$2000,11,Try & come up with this name of the Apollo 15 command module or the shuttle first launched in 1992,Endeavor
MICRONESIA,$200,11,The only native mammal in Micronesia is this flying one,a bat
MICRONESIA,$400,12,In the 1950s Enewetak & this atoll consisted the Pacific proving ground of the U.S. Atomic Energy Commission,Bikini Atoll
MICRONESIA,$600,13,"The name Micronesia comes from 2 Greek words, micro & nesos, which mean this",small island
MICRONESIA,$800,14,"In Agana, the capital of this U.S. territory, you can visit Latte Stone Park & see stone pillars from a prehistoric people",Guam
MICRONESIA,$1000,15,Most of the Caroline Islands are now a part of this independent country known as FSM for short,the Federated States of Micronesia
MY NEWT,$200,1,"My newt, seen here, gets offended when people call it a lizard--it's obviously one of these amphibians",a salamander
MY NEWT,$400,3,"When my newt developed this pair of organs, it was ready to start living on land & be called an eft",lungs
MY NEWT,$600,4,My newt takes pride in how carefully female newts attach these individually to aquatic plants,her eggs
MY NEWT,$800,5,It's no fun for my newt to hug his European cousin named for these bumps attributed to toads,warts
MY NEWT,$1000,6,My newt wonders why newts aren't a Japanese delicacy like this fish that secretes the same poison,blowfish (or fugu)
SHORTWAVE,$200,26,The shortwave band begins at about 1700 these units abbreviated kHz; below that you're in AM territory,kilohertz
SHORTWAVE,$400,27,"Mainly funded by the CIA, this broadcasting operation began transmitting behind the Iron Curtain in 1949",Radio Free Europe
SHORTWAVE,$600,28,"One book calls this 12-letter word the ""arch-enemy of shortwave listeners""; I just call it annoying",interference
SHORTWAVE,$800,29,This service that broadcasts from Abuja & Lagos has a name reflecting that of the USA's official radio service,Voice of Nigeria
SHORTWAVE,$1000,30,"To catch the BBC at 1700 UTC, or Universal Time Coordinated, tune in at this morning hour Pacific Standard time",9:00 AM
SMALL TOWN FOLKS,$200,21,"This popcorn magnate burst into the world on July 16, 1907 in Brazil, Indiana",Orville Redenbacher
SMALL TOWN FOLKS,$400,22,"As a player, this man led tiny Williston, N.D. High to the state basketball championships",Phil Jackson
SMALL TOWN FOLKS,"DD: $4,200",23,"Last name of Cecile, Yvonne, Annette, Emelie, & Marie, born May 28, 1934 in the village of Callendar, Ontario",
SMALL TOWN FOLKS,$800,24,"This bandleader whose hit is heard here grew up in the small towns of Clarinda, Iowa; Tryon, Neb.; & Grant City, Mo.",Glenn Miller
SMALL TOWN FOLKS,$1000,25,"From Dublin, Mich. this actor & Verizon spokesman first used a phone when he won a college scholarship",James Earl Jones
SPORTS GIANTS,$400,3,"In 1946, Elmore Morgenthaler was the first NBA player with this physical distinction",being 7 feet tall
SPORTS GIANTS,$800,12,"Through 2003 this pitcher now with Arizona had 3,871 strikeouts in 3,122 innings",Randy Johnson
SPORTS GIANTS,$1200,13,North-of-the-border star athlete seen here,Vince Carter
SPORTS GIANTS,$1600,14,"Known as ""Tooz"", he played defensive line for the Raiders & played Tonda in the film ""Caveman""",John Matuszak
SPORTS GIANTS,$2000,15,(I'm Hall of Famer Dan Hampton.)  My Hall of Fame biography mentions this beastly nickname that came from my first name & my fierce attitude,"""Danimal"""
TALL BUILDINGS,$400,21,"If a chunk of this New England city's Travelers Tower falls on you, we're confident they're insured",Hartford
TALL BUILDINGS,$800,22,Manhattan's Lever House helped usher in the era of the building style known as a box of this material,glass
TALL BUILDINGS,$1200,23,You might expect decor by Michelangelo at the over 500-foot towers with this name in Dallas & Detroit,Renaissance
TALL BUILDINGS,$1600,24,"The Jin Mao Building, China's tallest, is in this commercial center in the east of the country",Shanghai
TALL BUILDINGS,$2000,25,"This establishment, seen here, isn't in Asia, but in Atlantic City",the Taj Mahal
THE VAST & THE FURIOUS,$400,26,"The shortest ""war"" in history, 45 minutes, occured in 1896 between Zanzibar & naval forces of this vast empire",the British Empire
THE VAST & THE FURIOUS,$800,27,This nation of 200 million has fought small independence movements like those in Aceh & East Timor,Indonesia
THE VAST & THE FURIOUS,,,,
THE VAST & THE FURIOUS,,,,
THE VAST & THE FURIOUS,,,,
"""M""-BRACE ME",$200,21,"In a Sondheim musical, it’s how “We Roll Along”","""Merrily"""
"""M""-BRACE ME",$400,22,1 of these equals 39.97 inches,meter
"""M""-BRACE ME",$600,23,This place is a tomb: a big one!,mausoleum
"""M""-BRACE ME",$800,24,"In 1943 Adolf Galland said after his first ride in this German jet, “It felt as if angels were pushing”",Messerschmitt
"""M""-BRACE ME",$1000,25,This state’s university has its main campus in College Park,Maryland
19th CENTURY WOMEN,$400,1,"At her husband James' inauguration party in 1813, she served ice cream",Dolley Madison
19th CENTURY WOMEN,$800,2,"His mother, Marie-Letizia, seen here, had special status as Madame Mare",Napoleon
19th CENTURY WOMEN,$1200,3,"Known as ""The Peerless Lady Wingshot"", She was with Buffalo Bill's Wild West Show for 17 years",Annie Oakley
19th CENTURY WOMEN,"DD: $4,500",4,"The Atlantic Monthly paid her $5 in 1862 for her ""Hymn""",Julia Ward Howe
19th CENTURY WOMEN,$2000,5,"Early on, she was a disciple of Dr. Phineas Quimby & wrote that he ""heals as never man healed since Christ""",Mary Baker Eddy
"BOND, COMMON BOND",$400,11,"Fan,form,poison pen",letters
"BOND, COMMON BOND",$800,12,"Wing,Brazil,litchi",nuts
"BOND, COMMON BOND",$1200,13,"Lots,gavel,bidders",auctions
"BOND, COMMON BOND","DD: $5,800",14,"Corsets,collars,executions",things that have stays
"BOND, COMMON BOND",$2000,15,"Dean Martin,William Clark,Lamb Chop",partners of someone named Lewis
CHARADES,$400,16,"(Jimmy of the Clue Crew.) 1980s TV show, 2 words:",Dance Fever
CHARADES,$800,17,"(Sofia of the Clue Crew.)  1986 Meryl Streep movie, one word:",Heartburn
CHARADES,$1200,18,"(Cheryl of the Clue Crew.)  A James Bond movie, three words:",Diamonds Are Forever
CHARADES,$1600,19,"(Sofia of the Clue Crew.)  An Elton John classic, four words:","""Candle In The Wind"""
CHARADES,$2000,20,"(Jimmy of the Clue Crew.)  A 1960 John Updike book, two words:",Rabbit
CONTRACTIONS,$400,21,New York pedestrian traffic signs that used to include this contraction are being replaced by an upheld hand,don\'t
CONTRACTIONS,$800,22,Contraction in the title of the following,I\'ll
CONTRACTIONS,$1200,23,"The American Heritage Dict. says this nonstandard contraction was attacked in the 19th C. ""for being a vulgarism""",ain\'t
CONTRACTIONS,$1600,24,"It's the contraction that often begins a toast, like one in ""Casablanca""",here\'s
CONTRACTIONS,$2000,25,"If you're unable, use ""can't"", if you would rather not, use this word that rhymes with ""can't""",shan\'t
"DR. SEUSS MEETS THE BARD, REDUX",$400,6,"""Friends, Romans, countrymen, lend me your ear; I must say something you've just got to hear!""",Julius Caesar
"DR. SEUSS MEETS THE BARD, REDUX",$800,7,"""Life's... full of sound and fury, why must we always hurry, hurry, hurry?""",Macbeth
"DR. SEUSS MEETS THE BARD, REDUX",$1200,8,"""Once more unto the breach, but first allow me to eat this peach""",Henry V
"DR. SEUSS MEETS THE BARD, REDUX",$1600,9,"""Blow, winds, and crack your cheeks!  I haven't been this cold in weeks!""",King Lear
"DR. SEUSS MEETS THE BARD, REDUX",$2000,10,"""If you tickle us, do we not laugh?  Let's take a ride on that green giraffe!""",The Merchant of Venice
EUROPEAN CAPITALS,$200,1,"Among its numerous city squares are Ledise, known for its cafes, & Rembrandt, known for its cabarets",Amsterdam
EUROPEAN CAPITALS,$400,2,In Russian this Lithuanian capital is called Vilna,Vilnius
EUROPEAN CAPITALS,$600,3,"This city’s best-known thoroughfare is Trakt Krolewski, or Royal Way",Warsaw
EUROPEAN CAPITALS,$800,4,This capital lies on the Attica Plain surrounded by mountains including Parnes & Hymettus,Athens
EUROPEAN CAPITALS,$1000,5,"In the 15th century, Henry the Navigator founded St. Mary’s Chapel in Belem, now a part of this European capital",Lisbon
JAMES,$400,30,"According to Forbes, this actor who died in a 1955 car crash still managed to earn $5 million in 2003",James Dean
JAMES,$800,29,"This captain set out on his third voyage in 1776, one from which he'd never return",James Cook
JAMES,$1200,28,He came up with a copier machine & a clothes dryer as well as a famous engine,James Watt
JAMES,$1600,27,"Richard Wright helped this ""Go Tell It On The Mountain"" man win a literary fellowship",James Baldwin
JAMES,$2000,26,Federalist turned Democrat Chief of State seen here,James Buchanan
PLANT THE EVIDENCE,$200,16,"This desert plant that looks part cactus, part tree bears the name of the man chosen by Moses to be his successor",a Joshua Tree
PLANT THE EVIDENCE,$400,17,The lantana is valued as a plant for its ability to attract hummingbirds and these flutterers,butterflies
PLANT THE EVIDENCE,$600,18,"A genus of herbs was named for this ex-governor Clinton, not Bill",DeWitt Clinton
PLANT THE EVIDENCE,$800,19,"Fenugreek, whose seeds are roasted & ground to make spice, is this type of plant, like peas & beans",Legume
PLANT THE EVIDENCE,$1000,20,Most of the oregano sold in the U.S. is made from the dried leaves of this plant,marjoram
PRO FOOTBALL,$200,27,"This city’s Superdome has been just super, hosting 6 Super Bowls, more than any other site",New Orleans
PRO FOOTBALL,$400,28,"In 1960 Paul Hornung set the NFL season record for scoring with 176 points: he had 15 TFDs, 41 PATs & 15 of these",Field Goals (FGs)
PRO FOOTBALL,$600,29,"After 41 seasons in the same city, this NFL team moved to Pontiac, Michigan in 1975",Detroit Lions
PRO FOOTBALL,$800,26,Vince Lombardi has the highest winning percentage of any NFL coach in history: this “MNF” announcer is a close second,John Madden
PRO FOOTBALL,$1000,30,(I’m Hall of Fame running back John Riggins.)  In 1983 I rushed for a then record 24 TDs; the Redskins offensive line who opened holes for me had this nickname,Hogs
ROYAL HOUSES,$200,6,"George I’s father was elector of this, hence its turnover into a house name",Hanover
ROYAL HOUSES,$400,7,"This dynasty’s last 3 monarchs, including Mary I, died childless",Tudor
ROYAL HOUSES,$600,8,"As a member of this house, it sounds like James I could have starred in “Harvey”",Stuart
ROYAL HOUSES,$800,9,It could be called the house of Citrus sinensis,Orange
ROYAL HOUSES,$1000,10,This Shakespeare play sounds like it’s about the better halves of George V & George VI,The Merry Wives of Windsor
THE COIN BOX,$200,11,You’ll find this 4-word motto on all U.S. coins,In God We Trust
THE COIN BOX,$400,12,Sales of the 2000 Leif Ericson millennium coin funded a student exchange between the U.S. & this island country,Iceland
THE COIN BOX,$600,13,On the back of the euro issued by this country you’ll find a Celtic harp,Ireland
THE COIN BOX,"DD: $2,100",14,"For luck on his 1961 space flight, Gus Grissom took along some of these dimes last produced in 1945.",Mercury dimes (or winged liberty dimes)
THE COIN BOX,$1000,15,"People are just mad for the Loonie, the nickname for this country’s one-dollar coin",Canada
4-LETTER WORDS,$400,11,"If your birthday is on September 24, you’re on this of the sign of Libra",the cusp
4-LETTER WORDS,$800,12,4-letter Italian term for the boss of a crime syndicate,a capo
4-LETTER WORDS,$1200,13,"It’s in dictionaries as the sound a small object makes dropping into water, sometimes without a splash",plop
4-LETTER WORDS,$1600,14,This problem that sounds like what a coyote does at night could threaten a golfer’s career,the yips
4-LETTER WORDS,$2000,15,The dying cowboy in “Streets of Laredo” wants 6 pretty girls to bear this,his pall
@$&!,$400,23,"The $ may have originated as PS, an abbreviation for this other monetary unit",the peso
@$&!,$800,24,The artist Chryssa is noted for her light art &s; done in tubes of this gas,neon
@$&!,$1200,25,"(Jimmy of the Clue Crew demonstrates at a chalkboard.)  For the way it curls, Germans call our @ sign the Affinschwanz or this part of a monkey",the tail
@$&!,$1600,26,"The name of this company, whose symbol is seen here, consists of 3-letters plus an &",AT&T;
@$&!,$2000,27,"(Cheryl of the Clue Crew quizzes us from the chalkboard, which reads, ""10 gal. of paint @ $2.50 per qt."") It’s the total price in dollars for the shipment I've listed",$100
ANIMATED MOVIES,$200,6,A shark named Bruce is a member of Fish-Eaters Anonymous in this favorite from 2003,Finding Nemo
